ACE,AI,Altitude,LON,LAT,SOC,N,BD,Ph,NDVI,SAND
109.8125,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712
96,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712
110.0555556,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712
80.07692308,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061
89.33333333,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061
88.5,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061
61.11111111,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374
131.75,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374
141.5,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374
135.1666667,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374
133.2,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
125.5,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
129.4615385,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
124,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
135,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
123.2142857,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
120.5,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
87,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
133.5454545,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
138.625,0.071069784,1888,97.930497,39.838783,8.609131531,1.402457794,1.400747965,8.051382955,0.069991305,41.58232714
135.6,0.085735941,2172,97.788113,39.762238,13.3669091,1.992875271,1.346354921,8.061634091,0.099182606,43.96418626
136.25,0.169332324,3173,97.702177,39.605533,21.26698428,1.91639598,1.176346247,7.60121646,0.185247824,44.58728042
144,0.196189135,3565,97.68075,39.476482,28.13822031,2.622689054,1.192243496,7.577170455,0.166356519,42.06138918
